nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE PROFESSIONNEL HELENE DUC LYCEE DES METIERS SUD PERIGORD,92.4,LP,public,0240006B,92.4,24,2019-2020,24037,BORDEAUX,DORDOGNE,BERGERAC,,28.7,
LYCEE GENERAL GIRAUT DE BORNEIL,,LEGT,public,0240013J,103.2,24,2019-2020,24164,BORDEAUX,DORDOGNE,EXCIDEUIL,103.2,,31.6
LYCEE GENERAL BERTRAN DE BORN,108.2,LPO,public,0240024W,116.2,24,2019-2020,24322,BORDEAUX,DORDOGNE,PERIGUEUX,116.4,27.0,34.4
LYCEE GENERAL ET TECHNOLOGIQUE LAURE GATET,,LEGT,public,0240025X,111.4,24,2019-2020,24322,BORDEAUX,DORDOGNE,PERIGUEUX,111.4,,36.6
LYCEE PROFESSIONNEL PABLO PICASSO,84.8,LP,public,0240028A,84.8,24,2019-2020,24322,BORDEAUX,DORDOGNE,PERIGUEUX,,28.2,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARTHE SAINT FRONT,,LEGT,privé sous contrat,0240076C,108.0,24,2019-2020,24037,BORDEAUX,DORDOGNE,BERGERAC,108.0,,37.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0240079F,119.7,24,2019-2020,24322,BORDEAUX,DORDOGNE,PERIGUEUX,119.7,,32.9
LYCEE PROFESSIONNEL PRIVE CHAMBRE DE COMMERCE ET D INDUSTRIE,90.0,LPO,privé sous contrat,0240092V,90.5,24,2019-2020,24053,BORDEAUX,DORDOGNE,BOULAZAC ISLE MANOIRE,93.4,27.8,33.9
LYCEE POLYVALENT ANTOINE DE SAINT EXUPERY,85.9,LPO,public,0241125T,103.7,24,2019-2020,24547,BORDEAUX,DORDOGNE,TERRASSON LAVILLEDIEU,107.9,33.7,34.3
LYCEE PROFESSIONNEL PIERRE ADRIEN PARIS LYCEE DES METIERS DE LA CONSTRUCTION DURABLE,90.3,LP,public,0250013D,90.3,25,2019-2020,25056,BESANCON,DOUBS,BESANCON,,30.8,
LGT PR ST PAUL LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT,,LEGT,privé sous contrat,0251021Z,121.9,25,2019-2020,25056,BESANCON,DOUBS,BESANCON,121.9,,34.6
LYCEE GENERAL DU DIOIS,,LEGT,public,0260008T,125.1,26,2019-2020,26113,GRENOBLE,DROME,DIE,125.1,,34.0
LYCEE GENERAL ET TECHNOLOGIQUE ALAIN BORNE,,LEGT,public,0260015A,116.0,26,2019-2020,26198,GRENOBLE,DROME,MONTELIMAR,116.0,,36.6
LYCEE GENERAL ET TECHNOLOGIQUE ROUMANILLE,,LEGT,public,0260017C,111.2,26,2019-2020,26220,GRENOBLE,DROME,NYONS,111.2,,35.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS,,LEGT,privé sous contrat,0260072M,117.9,26,2019-2020,26108,GRENOBLE,DROME,CREST,117.9,,32.9
LYCEE POLYVALENT LES CATALINS LYCEE DES METIERS DU TRANSPORT ET DE LA LOGISTIQUE DE L ENERGIE ET DES SCIENCES APPLIQUEES,83.9,LPO,public,0260113G,95.8,26,2019-2020,26198,GRENOBLE,DROME,MONTELIMAR,107.5,28.0,32.7
LYCEE POLYVALENT HENRI LAURENS LYCEE DES METIERS DE L AUTOMOBILE,87.0,LPO,public,0261397C,94.6,26,2019-2020,26333,GRENOBLE,DROME,SAINT VALLIER,99.5,28.7,32.5
LYCEE POLYVALENT LOUISE MICHEL,85.3,LPO,public,0270026G,99.4,27,2019-2020,27284,ROUEN,EURE,GISORS,105.7,27.1,33.4
LYCEE GENERAL ET TECHNOLOGIQUE PORTE DE NORMANDIE,,LEGT,public,0270042Z,106.6,27,2019-2020,27679,ROUEN,EURE,VERNEUIL D AVRE ET D ITON,106.6,,33.0
LYCEE PROFESSIONNEL PRIVE SAINT OUEN,93.6,LP,privé sous contrat,0271081D,93.6,27,2019-2020,27467,ROUEN,EURE,PONT AUDEMER,,34.3,
LYCEE PROFESSIONNEL ARISTIDE BRIAND,86.2,LP,public,0271268G,86.2,27,2019-2020,27229,ROUEN,EURE,EVREUX,,29.3,
LYCEE GENERAL ET TECHNOLOGIQUE LEOPOLD SEDAR SENGHOR,,LEGT,public,0271579V,113.4,27,2019-2020,27229,ROUEN,EURE,EVREUX,113.4,,34.9
LYCEE GENERAL ET TECHNOLOGIQUE ANDRE MALRAUX,,LEGT,public,0271580W,109.7,27,2019-2020,27275,ROUEN,EURE,GAILLON,109.7,,35.1
LYCEE PROFESSIONNEL AUGUSTIN BOISMARD LYCEE DES METIERS D ART BOIS TISSU CUIR,98.7,LPO,public,0271606Z,99.5,27,2019-2020,27116,ROUEN,EURE,BRIONNE,111.4,33.4,41.5
LYCEE GENERAL MARCEAU,,LEGT,public,0280007F,128.4,28,2019-2020,28085,ORLEANS-TOURS,EURE-ET-LOIR,CHARTRES,128.4,,33.1
LYCEE GENERAL ET TECHNOLOGIQUE ROTROU,,LEGT,public,0280019U,101.6,28,2019-2020,28134,ORLEANS-TOURS,EURE-ET-LOIR,DREUX,101.6,,33.5
LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DES SCIENCES ET DE L INDUSTRIE,90.3,LPO,public,0280021W,105.3,28,2019-2020,28134,ORLEANS-TOURS,EURE-ET-LOIR,DREUX,108.2,30.3,35.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PIERRE SAINT PAUL,,LEGT,privé sous contrat,0280667Y,130.4,28,2019-2020,28134,ORLEANS-TOURS,EURE-ET-LOIR,DREUX,130.4,,29.5
LYCEE PROFESSIONNEL ELSA TRIOLET LYCEE DES METIERS DE L ACCUEIL DU COMMERCE ET DES SERVICES ADMINISTRATIFS,85.9,LP,public,0280864M,85.9,28,2019-2020,28218,ORLEANS-TOURS,EURE-ET-LOIR,LUCE,,29.4,
LYCEE GENERAL DE L IROISE,,LEGT,public,0290009C,131.2,29,2019-2020,29019,RENNES,FINISTERE,BREST,131.2,,32.2
LYCEE POLYVALENT VAUBAN,89.6,LPO,public,0290012F,104.9,29,2019-2020,29019,RENNES,FINISTERE,BREST,117.3,30.1,33.8
LYCEE GENERAL ET TECHNOLOGIQUE TRISTAN CORBIERE,,LEGT,public,0290051Y,115.0,29,2019-2020,29151,RENNES,FINISTERE,MORLAIX,115.0,,33.7
LYCEE PROFESSIONNEL DE PLEYBEN LYCEE DES METIERS DU BATIMENT ET DE L ECOCONSTRUCTION,88.9,LP,public,0290130J,88.9,29,2019-2020,29162,RENNES,FINISTERE,PLEYBEN,,27.6,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DU MUR,,LEGT,privé sous contrat,0290164W,111.9,29,2019-2020,29151,RENNES,FINISTERE,MORLAIX,111.9,,32.7
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LE LIKES LA SALLE QUIMPER,,LEGT,privé sous contrat,0290170C,122.7,29,2019-2020,29232,RENNES,FINISTERE,QUIMPER,122.7,,33.8
LYCEE GENERAL PRIVE SAINT ESPRIT,,LEGT,privé sous contrat,0290198H,111.2,29,2019-2020,29105,RENNES,FINISTERE,LANDIVISIAU,111.2,,26.6
LYCEE PROFESSIONNEL PRIVE NOTRE DAME DU KREISKER,90.0,LP,privé sous contrat,0290207T,90.0,29,2019-2020,29259,RENNES,FINISTERE,SAINT POL DE LEON,,33.4,
LYCEE PROFESSIONNEL RENE LAENNEC LYCEE DES METIERS DES SERVICES A LA PERSONNE,90.9,LP,public,0291633T,90.9,29,2019-2020,29220,RENNES,FINISTERE,PONT L ABBE,,26.7,
LYCEE POLYVALENT JEAN BAPTISTE DUMAS LYCEE DES METIERS DU TRAVAIL SOCIAL DE LA MECANIQUE ET DES PLURITECHNOLOGIES,80.8,LPO,public,0300002P,93.4,30,2019-2020,30007,MONTPELLIER,GARD,ALES,101.0,28.3,36.7
LYCEE POLYVALENT ANDRE CHAMSON,82.8,LPO,public,0300052U,107.0,30,2019-2020,30350,MONTPELLIER,GARD,LE VIGAN,112.2,25.5,36.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE BELLEVUE,,LEGT,privé sous contrat,0300077W,121.4,30,2019-2020,30007,MONTPELLIER,GARD,ALES,121.4,,35.0
LYCEE POLYVALENT PRIVE DE LA CCI LYCEE DES METIERS DU COMMERCE ET DES SERVICES,86.9,LP,privé sous contrat,0300112J,86.9,30,2019-2020,30189,MONTPELLIER,GARD,NIMES,,32.2,
LYCEE POLYVALENT PIERRE D ARAGON,92.1,LPO,public,0310024H,114.3,31,2019-2020,31395,TOULOUSE,HAUTE-GARONNE,MURET,118.1,31.5,36.0
LYCEE PROFESSIONNEL EUGENE MONTEL LYCEE DES METIERS DES ENERGIES RENOUVELABLES DE L ELECTROTECHNIQUE MAINTENANCE ET CHAUDRONNERIE INDUSTRIELLE,97.1,LP,public,0311092U,97.1,31,2019-2020,31149,TOULOUSE,HAUTE-GARONNE,COLOMIERS,,32.7,
LYCEE GENERAL PRIVE LE FERRADOU,,LEGT,privé sous contrat,0311126F,143.5,31,2019-2020,31069,TOULOUSE,HAUTE-GARONNE,BLAGNAC,143.5,,29.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE DES CHAMPS,,LEGT,privé sous contrat,0311146C,130.9,31,2019-2020,31555,TOULOUSE,HAUTE-GARONNE,TOULOUSE,130.9,,32.4
LYCEE GENERAL ET TECHNOLOGIQUE RIVE GAUCHE,,LEGT,public,0311323V,102.0,31,2019-2020,31555,TOULOUSE,HAUTE-GARONNE,TOULOUSE,102.0,,39.7
LYCEE POLYVALENT EDMOND ROSTAND LYCEE DES METIERS DU BOIS,105.4,LPO,public,0311334G,118.7,31,2019-2020,31042,TOULOUSE,HAUTE-GARONNE,BAGNERES DE LUCHON,121.6,33.8,34.1
LYCEE PROFESSIONNEL PRIVE JASMIN COIFFURE,81.1,LP,privé sous contrat,0311883D,81.1,31,2019-2020,31555,TOULOUSE,HAUTE-GARONNE,TOULOUSE,,27.1,
LYCEE GENERAL PRIVE OHR TORAH LEDER INSTITIT,,LEGT,privé sous contrat,0312356T,109.8,31,2019-2020,31555,TOULOUSE,HAUTE-GARONNE,TOULOUSE,109.8,,34.1
LYCEE POLYVALENT MARIE LOUISE DISSARD FRANCOISE,88.0,LPO,public,0312746S,121.0,31,2019-2020,31557,TOULOUSE,HAUTE-GARONNE,TOURNEFEUILLE,135.1,32.2,35.4
LYCEE POLYVALENT MARECHAL LANNES,84.3,LPO,public,0320015T,106.9,32,2019-2020,32208,TOULOUSE,GERS,LECTOURE,113.0,27.8,35.1
LYCEE POLYVALENT LE GARROS LYCEE DES METIERS DU GENIE CIVIL DE LA PRODUCTION ET DU LABORATOIRE,94.3,LPO,public,0320067Z,109.5,32,2019-2020,32013,TOULOUSE,GERS,AUCH,117.1,30.7,35.4
LYCEE GENERAL ET TECHNOLOGIQUE JAUFRE RUDEL,,LEGT,public,0330020T,105.6,33,2019-2020,33058,BORDEAUX,GIRONDE,BLAYE,105.6,,32.0
LYCEE GENERAL MONTESQUIEU,,LEGT,public,0330022V,122.7,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,122.7,,35.6
LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE JULLIAN,,LEGT,public,0330023W,135.3,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,135.3,,33.1
LYCEE PROFESSIONNEL NICOLAS BREMONTIER,93.2,LP,public,0330032F,93.2,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,,32.8,
LYCEE PROFESSIONNEL LA MORLETTE : LYCEE DES METIERS DES SOINS ET DES SERVICES A LA PERSONNE,83.4,LP,public,0330069W,83.4,33,2019-2020,33119,BORDEAUX,GIRONDE,CENON,,26.4,
LYCEE PROFESSIONNEL LYCEE DES METIERS SUD GIRONDE,89.4,LP,public,0330082K,89.4,33,2019-2020,33227,BORDEAUX,GIRONDE,LANGON,,28.2,
LYCEE PROFESSIONNEL ODILON REDON,84.9,LP,public,0330102G,84.9,33,2019-2020,33314,BORDEAUX,GIRONDE,PAUILLAC,,27.7,
LYCEE POLYVALENT VICTOR LOUIS,87.2,LPO,public,0330126H,111.1,33,2019-2020,33522,BORDEAUX,GIRONDE,TALENCE,117.4,31.4,37.2
LYCEE GENERAL PRIVE SAINT ELME,,LEGT,privé sous contrat,0331488N,129.9,33,2019-2020,33009,BORDEAUX,GIRONDE,ARCACHON,129.9,,34.6
LYCEE GENERAL PRIVE SAINT GENES LA SALLE,,LEGT,privé sous contrat,0331493U,146.6,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,146.6,,24.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE BASTIDE,,LEGT,privé sous contrat,0331501C,125.7,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,125.7,,33.9
LYCEE GENERAL PRIVE LA SAUQUE,,LEGT,privé sous contrat,0331504F,129.0,33,2019-2020,33213,BORDEAUX,GIRONDE,LA BREDE,129.0,,33.6
LYCEE PROFESSIONNEL PRIVE LA RUCHE LYCEE DES METIERS DE LA RELATION A L USAGER AU CLIENT A L HUMAIN ET A L ENTREPRISE,102.0,LP,privé sous contrat,0331561T,102.0,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,,34.0,
LYCEE PROFESSIONNEL HENRI BRULLE,86.3,LP,public,0332344U,86.3,33,2019-2020,33243,BORDEAUX,GIRONDE,LIBOURNE,,31.2,
LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL LYCEE DES METIERS DE LA COMMUNICATION DE LA MODE ET DES SERVICES AUX PERSONNES ET AUX ENTREPRISES,106.5,LP,privé sous contrat,0332497K,106.5,33,2019-2020,33063,BORDEAUX,GIRONDE,BORDEAUX,,33.7,
LYCEE GENERAL NORD BASSIN SIMONE VEIL,,LEGT,public,0332724G,122.4,33,2019-2020,33005,BORDEAUX,GIRONDE,ANDERNOS LES BAINS,122.4,,31.3
LYCEE GENERAL SUD MEDOC,,LEGT,public,0332831Y,134.6,33,2019-2020,33519,BORDEAUX,GIRONDE,LE TAILLAN MEDOC,134.6,,30.9
LYCEE POLYVALENT DE LA MER LYCEE DES METIERS DE LA MER,103.2,LPO,public,0332870R,116.4,33,2019-2020,33199,BORDEAUX,GIRONDE,GUJAN MESTRAS,122.1,30.5,32.4
LYCEE GENERAL FERDINAND FABRE,,LEGT,public,0340005W,107.3,34,2019-2020,34028,MONTPELLIER,HERAULT,BEDARIEUX,107.3,,34.0
LYCEE POLYVALENT JOSEPH VALLOT,88.4,LPO,public,0340028W,105.8,34,2019-2020,34142,MONTPELLIER,HERAULT,LODEVE,113.9,27.4,34.3
LYCEE GENERAL ET TECHNOLOGIQUE JOFFRE,,LEGT,public,0340038G,127.6,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,127.6,,38.2
LYCEE PROFESSIONNEL JULES FERRY LYCEE DES METIERS DES SERVICES A LA PERSONNE ET DE L ENTREPRISE,82.0,LP,public,0340045P,82.0,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,,29.3,
LYCEE PROFESSIONNEL JACQUES BREL LYCEE DES METIERS DE LA MOTO,94.8,LP,public,0340069R,94.8,34,2019-2020,34284,MONTPELLIER,HERAULT,SAINT PONS DE THOMIERES,,31.7,
LYCEE GENERAL PAUL VALERY,,LEGT,public,0340075X,114.6,34,2019-2020,34301,MONTPELLIER,HERAULT,SETE,114.6,,36.1
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE LA MERCI,,LEGT,privé sous contrat,0340881Y,136.7,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,136.7,,32.2
LYCEE POLYVALENT PRIVE NEVERS,109.0,LPO,privé sous contrat,0340991T,126.3,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,129.5,30.9,32.6
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE RABELAIS,,LEGT,privé sous contrat,0341765J,113.3,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,113.3,,38.0
SECTION D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DU LYCEE AGRICOLE FREDERIC BAZILLE AGROPOLIS,,LEGT,public,0341915X,139.8,34,2019-2020,34172,MONTPELLIER,HERAULT,MONTPELLIER,139.8,,28.8
LYCEE PROFESSIONNEL ALPHONSE PELLE,86.7,LP,public,0350009V,86.7,35,2019-2020,35095,RENNES,ILLE-ET-VILAINE,DOL DE BRETAGNE,,26.7,
LYCEE PROFESSIONNEL JEAN JAURES LYCEE DES METIERS,92.9,LP,public,0350031U,92.9,35,2019-2020,35238,RENNES,ILLE-ET-VILAINE,RENNES,,31.3,
LYCEE POLYVALENT JACQUES CARTIER,90.3,LPO,public,0350048M,111.6,35,2019-2020,35288,RENNES,ILLE-ET-VILAINE,SAINT MALO,117.8,27.8,34.9
LYCEE PROFESSIONNEL BEL AIR LYCEE DES METIERS DE LA LOGISTIQUE DU TRANSPORT ET DE LA MAINTENANCE DES VEHICULES,84.7,LP,public,0350050P,84.7,35,2019-2020,35337,RENNES,ILLE-ET-VILAINE,TINTENIAC,,25.2,
LYCEE PROFESSIONNEL MAUPERTUIS,91.2,LP,public,0350062C,91.2,35,2019-2020,35288,RENNES,ILLE-ET-VILAINE,SAINT MALO,,30.4,
LYCEE PROFESSIONNEL LA CHAMPAGNE LYCEE DES METIERS,82.5,LP,public,0350709F,82.5,35,2019-2020,35360,RENNES,ILLE-ET-VILAINE,VITRE,,26.9,
LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,97.6,LPO,public,0350710G,138.3,35,2019-2020,35238,RENNES,ILLE-ET-VILAINE,RENNES,138.8,25.9,31.9
LYCEE POLYVALENT PRIVE JEAN BAPTISTE LE TAILLANDIER LYCEE DES METIERS DE LA VENTE ET DU COMMERCE,85.0,LPO,privé sous contrat,0350769W,99.7,35,2019-2020,35115,RENNES,ILLE-ET-VILAINE,FOUGERES,107.0,28.4,31.8
LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,105.9,LPO,privé sous contrat,0350795Z,110.2,35,2019-2020,35238,RENNES,ILLE-ET-VILAINE,RENNES,118.1,33.9,35.1
LYCEE PROFESSIONNEL PRIVE SAINTE THERESE LYCEE DES METIERS DE LA RESTAURATION ET DE L HOTELLERIE,103.0,LP,privé sous contrat,0352446U,103.0,35,2019-2020,35125,RENNES,ILLE-ET-VILAINE,LA GUERCHE DE BRETAGNE,,34.5,
LYCEE GENERAL JEAN GIRAUDOUX,,LEGT,public,0360008N,118.4,36,2019-2020,36044,ORLEANS-TOURS,INDRE,CHATEAUROUX,118.4,,33.9
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE,,LEGT,public,0360009P,103.4,36,2019-2020,36044,ORLEANS-TOURS,INDRE,CHATEAUROUX,103.4,,33.7
LYCEE GENERAL ET TECHNOLOGIQUE PAUL LOUIS COURIER,,LEGT,public,0370039S,118.4,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,118.4,,37.3
L P ALBERT BAYET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DE L AUTOMOBILE ET DE LA LOGISTIQUE ET DES INDUSTRIES GRAPHIQUES ET PLURIMEDIA,94.3,LP,public,0370040T,94.3,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,,30.1,
LYCEE PROFESSIONNEL GUSTAVE EIFFEL LYCEE DES METIERS DE L INDUSTRIE,91.7,LP,public,0370053G,91.7,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,,30.3,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE URSULE,,LEGT,privé sous contrat,0370731U,135.1,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,135.1,,31.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARGUERITE,,LEGT,privé sous contrat,0370749N,133.5,37,2019-2020,37050,ORLEANS-TOURS,INDRE-ET-LOIRE,CHAMBRAY LES TOURS,133.5,,27.9
LYCEE PROFESSIONNEL HENRI BECQUEREL LYCEE DES METIERS DE L ELECTRICITE,93.8,LP,public,0371099U,93.8,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,,32.0,
LYCEE POLYVALENT PRIVE ESTHETIQUE DE TOURAINE,103.9,LP,privé sous contrat,0371532P,103.9,37,2019-2020,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,TOURS,,26.4,
LYCEE GENERAL ET TECHNOLOGIQUE L OISELET,,LEGT,public,0380008C,112.5,38,2019-2020,38053,GRENOBLE,ISERE,BOURGOIN JALLIEU,112.5,,35.5
LYCEE GENERAL CHAMPOLLION,,LEGT,public,0380027Y,143.3,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,143.3,,30.9
LYCEE GENERAL ET TECHNOLOGIQUE EMMANUEL MOUNIER,,LEGT,public,0380032D,93.3,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,93.3,,35.9
LYCEE POLYVALENT LESDIGUIERES LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME,97.5,LPO,public,0380035G,105.1,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,123.8,34.8,33.5
LYCEE PROFESSIONNEL GUYNEMER LYCEE DES METIERS DE L AUTOMOBILE DE LA MAINTENANCE DES ENGINS ET DES EQUIPEMENTS,87.8,LP,public,0380036H,87.8,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,,30.4,
LYCEE PROFESSIONNEL JEAN JAURES,82.8,LP,public,0380037J,82.8,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,,30.2,
LYCEE POLYVALENT LA SAULAIE,86.9,LPO,public,0380063M,109.2,38,2019-2020,38416,GRENOBLE,ISERE,SAINT MARCELLIN,116.5,28.0,34.9
LYCEE PROFESSIONNEL L ODYSSEE,81.5,LP,public,0381602K,81.5,38,2019-2020,38316,GRENOBLE,ISERE,PONT DE CHERUY,,25.2,
UNITE SOINS ETUDES DE L ACADEMIE DE GRENOBLE ANNEXE DU LYCEE CHAMPOLLION,,LEGT,public,0381630R,131.4,38,2019-2020,38516,GRENOBLE,ISERE,LA TRONCHE,131.4,,31.8
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ROBIN,,LEGT,privé sous contrat,0381678T,119.9,38,2019-2020,38544,GRENOBLE,ISERE,VIENNE,119.9,,31.4
LYCEE PROFESSIONNEL PRIVE FRANCOIS VERGUIN LYCEE DES METIERS DE LA CHIMIE,86.0,LP,privé sous contrat,0381732B,86.0,38,2019-2020,38298,GRENOBLE,ISERE,LE PEAGE DE ROUSSILLON,,21.5,
LYCEE PROFESSIONNEL PRIVE JEANNE D ARC,87.7,LP,privé sous contrat,0381733C,87.7,38,2019-2020,38298,GRENOBLE,ISERE,LE PEAGE DE ROUSSILLON,,24.8,
LYCEE PROFESSIONNEL PRIVE LE BREDA LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERSONNE,87.3,LP,privé sous contrat,0381741L,87.3,38,2019-2020,38006,GRENOBLE,ISERE,ALLEVARD,,29.5,
LYCEE PROFESSIONNEL PRIVE LES CHARMILLES LYCEE DES METIERS DU TERTIAIRE,101.8,LP,privé sous contrat,0381758E,101.8,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,,33.0,
LYCEE GENERAL PRIVE EXTERNAT NOTRE DAME,,LEGT,privé sous contrat,0381803D,127.6,38,2019-2020,38185,GRENOBLE,ISERE,GRENOBLE,127.6,,35.2
LYCEE PROFESSIONNEL PRIVE LES GORGES LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERSONNE,97.2,LP,privé sous contrat,0381809K,97.2,38,2019-2020,38563,GRENOBLE,ISERE,VOIRON,,36.6,
LYCEE PROFESSIONNEL THOMAS EDISON,82.9,LP,public,0382031B,82.9,38,2019-2020,38151,GRENOBLE,ISERE,ECHIROLLES,,28.4,
LYCEE PROFESSIONNEL PRIVE ALPES SUD ISERE,89.6,LP,privé sous contrat,0382093U,89.6,38,2019-2020,38499,GRENOBLE,ISERE,SUSVILLE,,26.2,
LYCEE PROFESSIONNEL FRANCOISE DOLTO LYCEE DES METIERS DE LA SANTE ET DU SOCIAL,83.3,LP,public,0382274R,83.3,38,2019-2020,38170,GRENOBLE,ISERE,FONTANIL CORNILLON,,27.4,
LYCEE GENERAL ET TECHNOLOGIQUE LA PLEIADE,,LEGT,public,0382838D,113.7,38,2019-2020,38316,GRENOBLE,ISERE,PONT DE CHERUY,113.7,,32.7
LYCEE POLYVALENT DU GRESIVAUDAN,119.6,LPO,public,0382863F,143.4,38,2019-2020,38229,GRENOBLE,ISERE,MEYLAN,144.2,37.0,30.5
LYCEE GENERAL ET TECHNOLOGIQUE MARIE CURIE,,LEGT,public,0382920T,107.0,38,2019-2020,38151,GRENOBLE,ISERE,ECHIROLLES,107.0,,38.2
LYCEE GENERAL CHARLES NODIER,,LEGT,public,0390012B,117.1,39,2019-2020,39198,BESANCON,JURA,DOLE,117.1,,34.4
LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION,104.0,LPO,public,0390033Z,113.1,39,2019-2020,39434,BESANCON,JURA,POLIGNY,117.1,35.7,32.8
LYCEE PROFESSIONNEL PRIVE SAINTE MARIE,96.2,LP,privé sous contrat,0390094R,96.2,39,2019-2020,39300,BESANCON,JURA,LONS LE SAUNIER,,28.8,
LYCEE GENERAL ET TECHNOLOGIQUE VICTOR DURUY,,LEGT,public,0400017B,111.0,40,2019-2020,40192,BORDEAUX,LANDES,MONT DE MARSAN,111.0,,34.4
LYCEE PROFESSIONNEL FREDERIC ESTEVE LYCEE DES METIERS DE L AUTOMOBILE ET DU TRANSPORT,85.1,LP,public,0400019D,85.1,40,2019-2020,40192,BORDEAUX,LANDES,MONT DE MARSAN,,25.9,
LYCEE PROFESSIONNEL JEAN D ARCET,84.3,LP,public,0400047J,84.3,40,2019-2020,40001,BORDEAUX,LANDES,AIRE SUR L ADOUR,,26.2,
LYCEE GENERAL ET TECHNOLOGIQUE RONSARD,,LEGT,public,0410030K,112.8,41,2019-2020,41269,ORLEANS-TOURS,LOIR-ET-CHER,VENDOME,112.8,,35.5
LYCEE PROFESSIONNEL DENIS PAPIN,81.5,LP,public,0410036S,81.5,41,2019-2020,41194,ORLEANS-TOURS,LOIR-ET-CHER,ROMORANTIN LANTHENAY,,26.0,
LYCEE POLYVALENT PRIVE LA PROVIDENCE LYCEE DES METIERS DES SERVICES A LA PERSONNE ET AUX ORGANISATIONS,89.5,LPO,privé sous contrat,0410693F,94.9,41,2019-2020,41018,ORLEANS-TOURS,LOIR-ET-CHER,BLOIS,104.3,29.8,33.0
LYCEE POLYVALENT PRIVE SAINT JOSEPH,89.0,LPO,privé sous contrat,0410954P,112.4,41,2019-2020,41269,ORLEANS-TOURS,LOIR-ET-CHER,VENDOME,129.0,29.4,27.2
LYCEE POLYVALENT JEREMIE DE LA RUE,89.3,LPO,public,0420008F,109.6,42,2019-2020,42052,LYON,LOIRE,CHARLIEU,114.7,30.4,31.2
